2020-05-25
+-----------------------------------------+--------+
|                   Card                  | Price  |
|   Black Rose Ghost   | 117.87 |
|    Pot of Avarice    | 115.0  |
| Bottomless Trap Hole | 85.58  |
|    Effect Veiler     |  76.4  |
|    Solemn Warning    |  52.0  |
|        Maxx c        | 44.96  |
|   Smashing Ground    |  33.8  |
|      Brionac DT      |  27.0  |
|      Tour guide      |  26.8  |
|       Leviair        | 25.02  |
|     Book of Moon     | 23.18  |
|     Catastor UTR     | 19.56  |
|      Laggia UTR      | 18.24  |
|    Rescue Rabbit     | 17.44  |
|        Sangan        | 14.99  |
|         TKO          | 13.92  |
|    Dolkka Secret     | 12.99  |
|   Solemn Judgment    | 11.71  |
|     Mirror Force     | 10.83  |
|    Monster Reborn    |  8.07  |
|      Dark Hole       |  7.55  |
|     Mind Control     |  6.97  |
|         MST          |  6.52  |
|  Torrential Tribute  |  4.08  |
|      Armory Arm      |  3.73  |
|   Leviathan Dragon   |  3.46  |
|      Zenmaines       |  2.84  |
|      Acid Golem      |  2.68  |
|         Gorz         |  2.51  |
|      Utopia Ray      |  2.28  |
|      Zenmaister      |  1.71  |
|     Heavy Storm      |  1.16  |
|    Fiendish Chain    |  0.98  |
|        Utopia        |  0.93  |
|    Giga Brilliant    |  0.5   |
|         test         |   0    |
+----------------------+--------+
2020-06-20
+----------------------------------+-------+
|               Card               | Price |
+----------------------------------+-------+
|            Tsukuyomi             | 54.49 |
|              Jinzo               | 30.83 |
|          Gatling Dragon          | 29.86 |
|               BLS                | 25.73 |
|           Master of Oz           | 21.14 |
|          Ojama King UTR          | 20.67 |
|             Stardust             | 18.06 |
| Last Warrior From Another planet | 15.79 |
|       Graceful charity HL        | 15.25 |
|       ring of destruction        | 13.35 |
|             Breaker              | 12.45 |
|        Airknight Parshath        | 11.95 |
|       Divine Wrath UTR 1st       | 10.92 |
|      Dark Blade the DK UTR       | 10.71 |
|            Power Tool            |  9.32 |
|            Sangan HL             |  8.73 |
|            Black Rose            |  8.58 |
|              NoC HL              |  8.47 |
|         Tribe infecitng          |  8.45 |
|         Snatch steal MRL         |  7.92 |
