collection_extra_deck - 2022-12-29
+-----------------------------------------------+-------+
|                      Card                     | Price |
| Light and darkness dragon ultra ldpp |   0   |
|                 test                 |   0   |
+--------------------------------------+-------+
collection_old_school - 2022-12-30
+-------------------------------------------+-------+
|                    Card                   | Price |
+-------------------------------------------+-------+
|       Dark Magician Girl Secret 1st       |  5999 |
|         Blue-Eyes White Dragon DDS        |  2204 |
|  Winged kurbio lvl 10 ultimate 1st german |  1999 |
|       Dark Magician Girl Secret UNL       |  975  |
|      Blue Eyes White Dragon BPT 2002      |  699  |
|           Dark Paladin 1st Ultra          |  600  |
|          Gate Guardian Secret 1st         |  599  |
|                Exodia Head                |  525  |
|           Dark Magician BPT 2002          |  500  |
|      Chaos Emperor Dragon Secret 1st      |  499  |
|             Dark Magician DDS             |  450  |
|     Winged kuribo ultimate 1st german     |  395  |
|       Red Eyes Black Dragon BPT 2002      |  350  |
|             Harpies Pet Dragon            |  342  |
|           Buster Blade Ultra 1st          |  300  |
|              Exodia Right Arm             |  300  |
|       bladeedge ultimate 1st italian      |  300  |
|    EHERO bubbleman ultimate 1st german    |  299  |
|             Obelisk JUMP PrScr            |  299  |
|              Jinzo Secret PSV             |  275  |
|         Slifer The Sky Dragon YMA         |  225  |
|          The Winged Dragon of Ra          |  220  |
|         Blue Eyes Toon Dragon MRL         |  200  |
|        Red Eyes Black Metal Dragon        |  200  |
|            Summoned Skull Ultra           |  188  |
|           Dark Magician of Chaos          |  183  |
|      neos dolphin ultimate 1st german     |  155  |
|             Yata-Garasu Secret            |  149  |
|         neos air bird ultimate 1st        |  149  |
|   neos dark panther ultimate 1st german   |  146  |
|      Serpent Night Dragon Secret 1st      |  144  |
|            EHERO clayman secret           |  135  |
|         Blue-Eyes White Dragon LOB        |  130  |
|    neos grand mole ultimate 1st german    |  129  |
|           Lava Golem Secret 1st           |  125  |
|          Gate Guardian Secret UNL         |  119  |
|             Dark Magician LOB             |  100  |
|         Imperial Order PSV Secret         |  100  |
|    Chaos Emperor Dragon EOTE Secret unl   |   99  |
|               Don Zaloog 1st              |   99  |
|             EHERO Neos secret             |   99  |
|       Blue Eyes Ultimate JMP Secret       |   94  |
|             Queen's Knight UTR            |   79  |
|              Change of Heart              |   71  |
|        Serpent Night Dragon Secret        |   70  |
|             King's Knight UTR             |   65  |
|           Lava Golem Secret UNL           |   65  |
|   neos flare scarab ultimate 1st german   |   63  |
|                Red Eyes LOB               |   60  |
|             Jack's Knight UTR             |   59  |
|            Reflect Bounder 1st            |   59  |
|             Gemini Elf Secret             |   55  |
|        Injection Fairy Lily Secret        |   55  |
|           B. Skull Dragon Ultra           |   51  |
| Black Luster Soldier EOTB Ultra Unlimited |   50  |
|           Buster Blade Ultra unl          |   50  |
|        Monster Reborn Unlimited LOB       |   50  |
|         Thousand Dragon MRD secret        |   50  |
|             Time Wizard Ultra             |   50  |
|          Tri Horned Dragon Secret         |   50  |
|           Marauding Captain 1st           |   49  |
|              Mirror Force MRD             |   49  |
|     Thousand Eyes Restrict Secret MC1     |   40  |
|              Exodia Left Arm              |   39  |
|       Ring of Destruction Secret UNL      |   39  |
|          Barrel Dragon MRD Ultra          |   37  |
|              Exodia Left Leg              |   33  |
|              Exodia Right Leg             |   32  |
|       Forceful Sentry MRL Unlimited       |   30  |
|              Gaia LOB Vanilla             |   29  |
|         Premature Burial Ultra UNL        |   29  |
|            Vampire Lord Secret            |   25  |
|           Gaia Dragon Champ LOB           |   24  |
|           Magic Cylinder Secret           |   24  |
|             EHERO Avian secret            |   0   |
|             EHERO Burst secret            |   0   |
|             EHERO Spark secret            |   0   |
|         Summoned Skull BPT Reverse        |   0   |
|                    test                   |   0   |
+-------------------------------------------+-------+
buylist_zombies - 2022-12-30
+-------------------------------------------------+-------+
|                       Card                      | Price |
+-------------------------------------------------+-------+
| pyramid turtle - super champion pack - TCG/seek |  225  |
|       Goblin Zombie Secret PTDN - TCG/seek      |  199  |
|      Zombie Master UTR Taev 1st - TCG/seek      |  129  |
|          Mezuki Secret pp02 - TCG/seek          |   88  |
| burial from a diff dimension - dp03 ultra - TCG |   19  |
|    card of safe return ultra Unlimited - TCG    |   10  |
|      book of life pgd Super Unlimited - TCG     |   7   |
|                       test                      |   0   |
+-------------------------------------------------+-------+
buylist_mermail - 2022-12-30
+--------------------------------------------+-------+
|                    Card                    | Price |
+--------------------------------------------+-------+
|     Atlantean Dragoons UTR - TCG/seek      |  250  |
|       Deep Sea Diva Super - TCG/seek       |  240  |
|     Atlantean Marksman UTR - TCG/seek      |   89  |
|      Breakthrough Ultimate 1st - TCG       |   65  |
| Mermail Abyssmegalo Secret 1st - TCG/seek  |   65  |
| Mermail Abyssteus Ultimate 1st - TCG/seek  |   59  |
|   Atlantean Heavy Infrantry Super - TCG    |   33  |
| Mermail Abysslinde Ultimate 1st - TCG/seek |   31  |
|  Mermail Abyss-sphere Ultimate 1st - TCG   |   24  |
|           Moulinglacia 1st - TCG           |   24  |
|          soul charge Ultra - TCG           |   17  |
|       Mermail Abyssgunde Super - TCG       |   15  |
|       Mermail Abysspike Super - TCG        |   8   |
|     Mermail Abyssleed Secret 1st - TCG     |   4   |
|         Salvage - blue rare - TCG          |   3   |
|        Genex Controller - TCG/seek         |   0   |
|          Genex Undive - TCG/seek           |   0   |
|              Tidal Scr - TCG               |   0   |
|                    test                    |   0   |
+--------------------------------------------+-------+
buylist_cool_singles - 2022-12-30
+------------------------------------------------+-------+
|                      Card                      | Price |
+------------------------------------------------+-------+
|       Black Rose Dragon Ghost 1st - SEEK       |  2998 |
|             Blue eyes toon scr 1st             |  2500 |
|                red eyes lob 1st                |  2499 |
|                    dds bewd                    |  2204 |
|                  b skull 1st                   |  1999 |
|                 Dad secret 1st                 |  999  |
|  Stardust Dragon Ghost unl extra - TCG / SEEK  |  949  |
|                     dds dm                     |  899  |
|               summoned skull 1st               |  899  |
|                  time wiz 1st                  |  839  |
|                    yata 1st                    |  677  |
|         dark rainbow dragon secret 1st         |  424  |
|                    ter 1st                     |  400  |
| Black Rose Dragon Ghost unl extra - TCG / SEEK |  399  |
|    Power Tool Dragon Ghost 1st - TCG / SEEK    |  328  |
|                 JD Secret 1st                  |  299  |
|    red dragon archfiend Ultimate 1st - SEEK    |  299  |
|             rainbow dragon scr 1st             |  229  |
|            Injection Fairy Lily 1st            |  220  |
|                vampire lord 1st                |  200  |
|                   dds exodia                   |  199  |
|                 gemini scr 1st                 |  144  |
|                      test                      |   0   |
+------------------------------------------------+-------+
buylist_foreign_converts - 2022-12-30
+------------------------------------+-------+
|                Card                | Price |
+------------------------------------+-------+
|         Maxx C Ultimate EN         |  1299 |
| Plaguespreader Zombie Ultimate 1st |  999  |
|     Trap Dustshoot Super CP EN     |  459  |
|       Tour Guide Ultimate EN       |  425  |
|   Pot of Greed Ultimate 1st - EN   |  379  |
|   Emegency Teleport Ultimate 1st   |  325  |
|         Krebos Super TU EN         |  299  |
|   Pot of Avarice Ultimate 1st EN   |  284  |
|         Doomkaiser utr 1st         |   99  |
|     Diamond Dude Ultimate 1st      |   94  |
|        Armory Arm Ultra 1st        |   40  |
|      Scapegoat Ultra RP01 EN       |   0   |
|                test                |   0   |
+------------------------------------+-------+
buylist_edison - 2022-12-30
+------------------------+-------+
|          Card          | Price |
+------------------------+-------+
| Morphing Jar ultra TP2 |  9999 |
| Morphing Jar tp4 super |  299  |
|    Snipe Hunter cp3    |  250  |
|          test          |   0   |
+------------------------+-------+
collection_deck_builder - 2023-01-01
+--------------------------------------------+-------+
|                    Card                    | Price |
+--------------------------------------------+-------+
|    Black Luster Soldier EOTB Ultra 1st     |  2000 |
|        Maxx C Ultimate - 1 EN 1 SP         |  1299 |
|          Solemn Judgment MRD 1st           |  1299 |
|           Book of Moon Super CP            |  999  |
|           Magician of Faith cp2            |  999  |
|     Plaguespreader Zombie Ultimate 1st     |  999  |
|   Plaguespreader Zombie Ultimate 1st ITA   |  999  |
|          Chaos Sorcerer Ultra TU           |  700  |
|         Effect Veiler Ultimate 1st         |  700  |
|          Foolish Burial Super CP           |  699  |
|         Lonefire Blossom Super CP          |  699  |
|          Judgment Dragon Ultimate          |  600  |
|     Night Assailant Super CP 3 EN 1 IT     |  599  |
